video_id,title,channel,query_used
QwDx69V0i1c,GUJARAT TITANS WON AGAINST KKR 🔥 | AB CRICINFO REACTION 😂 | #abcricinfo #cricket #ipl2025 #kkr,AB CRICINFO EDITS ,gujarat cricket reaction
vVfF3rZwGSg,Hardik Pandya Fined 12 Lakhs vs GT 💸🤯 #bharat #cricket #ipl2025 #hardikpandya #mumbaiindians,Raunak Day,gujarat cricket reaction
Hm_uCSYFoL4,GT Bowlers Turning Test into T20! Siraj &amp; Gurnoor Unreal Carnage!#mohammedsiraj #gurnoorbrar,up aditya.29,gujarat cricket reaction
c5ngTDA9-tc,Hyderabad  har 😭vs 😁Gujarat reaction,Aramse Kumar,gujarat cricket reaction
B_9maINTLLM,GUJRAT TITAN ATTITUDE STATUS #shorts #shortvideo #cricket #gujarat,𝐉𝐀𝐘 𝔻𝕎𝔸ℝ𝕂𝔸𝔻ℍ𝕀𝕊ℍ ,gujarat cricket reaction
viL2TsgPH1Q,Narendra Modi Stadium | Home of Gujarat Titans | Ahmedabad | IPL 2023 #motera #narendramodistadium,The Cazual Vlogger,gujarat cricket reaction
w-dcD5Ft_O0,Shubham Gill..🥰❤️👑 #shubmangill #gujarattitans #cricket #viralvideo #reels #reelsinstagram #shorts,SKM VLOGS,gujarat cricket reaction
hrYp50WKDwk,Vaibhav Suryavanshi&#39;s 101 vs #GT | Cricbuzz Live reacts,Cricbuzz,gujarat cricket reaction
KwIPmRE0zr8,Gujarat win ipl short video || gt wining status #shorts #iplfinal #cricket #gtwinipl,sudhu cricket,gujarat cricket reaction
4v4qjBJNS1Q,Ahmedabadi public in Narendra Modi stadium || Mastii time 😂|| #shorts #masti #ipl #csk #rcb #viral,Film point,gujarat cricket reaction
56zwrKJYox8,Gujarat Ne liya Mumbai se badla#ipl #cricket #shorts,RK CRICKETER ,gujarat cricket reaction
bd1Xx-kiwyc,Shubman Gill did this when he see Sara Tendulkar during live match #cricket #shorts,ALL IN ONE,gujarat cricket reaction
